Water kind,number,R_1,G_1,B_1,R_2,G_2,B_2,R_3,G_3,B_3
1.0,1.0,0.5827596078431371,0.5436847058823528,0.25242627450980387,0.014247359608877807,0.016189530955901345,0.041172728179138036,-0.012633326801995852,-0.016060757956685087,-0.04140336945664182
1.0,10.0,0.6418701960784313,0.5707725490196077,0.21357176470588243,0.015428821768899611,0.011137939084204261,0.01373549403501765,0.009571512383629879,-0.00398528990973752,-0.0020301402428862733
1.0,11.0,0.6036980392156862,0.5767976470588233,0.28219647058823527,0.008728068356716927,0.007101877891700195,0.012300422431895408,-0.004655190832535421,-0.002336660052464524,-0.009548871483022237
1.0,12.0,0.5896956862745096,0.5937184313725489,0.2522211764705882,0.007989726429118146,0.005967020422135751,0.010698403650856647,0.003726031901890893,-0.0036091302777107592,-0.0050685437367171534
1.0,13.0,0.5911298039215686,0.5920682352941176,0.2534133333333333,0.007524210202887696,0.006530429456107717,0.012199611013520042,-0.0013558806193053163,-0.0018440244996867409,-0.004311706465804039
1.0,14.0,0.5887690196078431,0.5696807843137254,0.31889137254901956,0.007580278333138105,0.005039259998279263,0.008496529549120923,-0.0035000938641522716,0.0018972642912872216,-0.005720664954012993
1.0,15.0,0.5885066666666665,0.5732462745098037,0.28833215686274505,0.007370891928915958,0.0051346905139799896,0.011888621856314768,0.0030951418554705113,-0.001093399021031631,0.008590926784693156
1.0,16.0,0.6181298039215685,0.5396976470588235,0.2745164705882353,0.008625709619271105,0.006167089782547793,0.014640900671479405,-0.0024996685218320915,0.003659081929474284,0.014071646213177086
1.0,17.0,0.6184709803921568,0.5392243137254902,0.27356352941176465,0.008899505569684864,0.005844578266843772,0.014155110591695481,0.00312262224225523,0.0033125148896920985,0.014492304485479104
1.0,18.0,0.6642725490196077,0.5763349019607842,0.2937407843137254,0.011002351815975834,0.007727184884294105,0.019135593302182407,-0.0051432039569771024,0.004121710566613538,0.012664588916102962
1.0,19.0,0.7006882352941175,0.6013188235294117,0.2931541176470588,0.00841832072319291,0.007144579639402172,0.013291937764479424,0.0023038196528077457,0.0019241405608281786,0.005551651586015201
1.0,2.0,0.5638513725490195,0.5349698039215687,0.2718482352941176,0.00980487806314494,0.007857203768344402,0.011868474591099286,-0.005198853196701138,0.0034404514566719517,-0.005465729841188023
1.0,20.0,0.6221266666666666,0.5485329411764704,0.2662662745098039,0.010103007123682351,0.005808026092364014,0.012039583305366466,-0.002167317521447906,-0.002576336176575842,-0.009057309722033969
1.0,21.0,0.6117235294117646,0.5284458823529411,0.23851921568627454,0.009844613396071407,0.006851459976255288,0.014816814663431302,0.005778881267080316,0.003992294125902147,0.00801345319096052
1.0,22.0,0.6242564705882351,0.5682819607843136,0.3227976470588235,0.008197510748287022,0.004641617381742357,0.011135722374537187,-0.00656328245800839,-0.0008760479629486395,-0.007102677164188834
1.0,23.0,0.6926525490196078,0.6643772549019608,0.27967960784313717,0.008949104706508818,0.005705279342841492,0.012108560023232195,0.004320035981367497,-0.002038470552603866,-0.006371531226132472
1.0,24.0,0.5677764705882351,0.5853799999999999,0.25152156862745095,0.007843442150936434,0.006054691642694941,0.01307309824531437,-0.0033969799094446438,-0.00263407350440419,0.005243682424026017
1.0,25.0,0.5498545098039215,0.5832866666666667,0.2946247058823529,0.007528567752940233,0.005379712399179491,0.012215533005049862,0.0028643561758809792,-0.0021330296178225933,0.006870068967801832
1.0,26.0,0.562758431372549,0.5647199999999999,0.28865019607843134,0.007089246465992967,0.005079887806902707,0.012088998662346207,0.004754859303856216,0.002743703956173702,-0.001804863203457495
1.0,27.0,0.6636094117647059,0.6233298039215684,0.21158509803921574,0.007998677168602326,0.005877526372801367,0.013753641919561476,-0.004626149610368145,-0.0023285672457226494,-0.008320907425893514
1.0,28.0,0.6685494117647058,0.6202117647058821,0.22181411764705886,0.007316226234927817,0.006355463067592871,0.010865562910523912,-0.0038929618432906295,-0.0035770006878747904,0.004042612813397829
1.0,29.0,0.5773866666666666,0.5396678431372548,0.2811435294117647,0.02025368940432177,0.014892414852739554,0.012350070902143281,0.009793765532637519,-0.005076996219536392,0.006909037823551673
1.0,3.0,0.630289019607843,0.5942568627450979,0.2984635294117646,0.00781166067140741,0.005916423878573705,0.01019433828287836,0.003414751325405045,-0.0034234265067874608,-0.006431698063013075
1.0,30.0,0.6396894117647058,0.5952074509803921,0.24014392156862746,0.011384312617778721,0.0087848140526282,0.01518739694329184,-0.003835859649084711,-0.003236869764990667,-0.0037327215585945825
1.0,31.0,0.5580376470588234,0.5354235294117646,0.265858431372549,0.013125742594103932,0.008485381961688895,0.014398632293328868,-0.008274472688899281,-0.005925031720950831,-0.009038454496246406
1.0,32.0,0.6205435294117646,0.5922854901960783,0.22025137254901966,0.014450791517109806,0.0108566728692579,0.010264305058001815,0.0031665181401706126,-0.003645921588712486,0.007028452718422354
1.0,33.0,0.6134235294117645,0.5828713725490194,0.2243003921568628,0.013817323596577922,0.01084363233986582,0.01093333645595927,0.004800507674814363,0.005154545173485349,0.0024333708429348563
1.0,34.0,0.6037074509803919,0.6080137254901958,0.25410431372549014,0.010799361223936332,0.0066421784964556365,0.010506458671586845,-0.007534710146635519,-0.003273720020623708,0.0017608299627482923
1.0,35.0,0.6034258823529409,0.6023290196078429,0.2388,0.009992402373319014,0.006622672357743218,0.010979806707081643,-0.00569444031635199,-0.002777673758379423,-0.005826726065860948
1.0,36.0,0.6342341176470587,0.5574133333333331,0.18165254901960784,0.007596350638425973,0.005924408927961762,0.010237999822674778,-0.002658811710651148,0.0024149553152180677,-0.0040051345552353165
1.0,37.0,0.5748180392156862,0.5618439215686274,0.2565992156862745,0.007779370228585522,0.004862732384550094,0.011165584075326095,-0.0027727260596486854,0.0025330672065478803,0.005281057304787811
1.0,38.0,0.6415050980392156,0.6197541176470586,0.333118431372549,0.00831703371101118,0.005444782355793543,0.008898934408257014,-0.004341984876345701,-0.003056911181211285,0.006280389416618515
1.0,39.0,0.5563788235294117,0.5754345098039215,0.2850976470588235,0.00731934540953933,0.005192486157438876,0.01010794487691518,-0.0029606318685946173,-0.00313024042831577,0.007110885984414351
